Finish No.499 image, Processing time : 6.846208572387695
Finish No.500 image, Processing time : 6.574626207351685
Finish No.501 image, Processing time : 6.839203596115112
Finish No.502 image, Processing time : 6.615783929824829
Finish No.503 image, Processing time : 6.967947244644165
Finish No.504 image, Processing time : 6.949739694595337
Finish No.505 image, Processing time : 7.052597522735596
Finish No.506 image, Processing time : 6.9461870193481445
Finish No.507 image, Processing time : 8.569586753845215
Finish No.508 image, Processing time : 6.841943025588989
Finish No.509 image, Processing time : 7.125245094299316
Finish No.510 image, Processing time : 6.9578773975372314
Finish No.511 image, Processing time : 7.119501829147339
Finish No.512 image, Processing time : 7.204829454421997
Finish No.513 image, Processing time : 7.051558256149292
Finish No.514 image, Processing time : 8.609014749526978
Finish No.515 image, Processing time : 7.761770725250244
Finish No.516 image, Processing time : 7.254307270050049
Finish No.517 image, Processing time : 7.176720142364502
Finish No.518 image, Processing time : 7.07084584236145
Finish No.519 image, Processing time : 8.67046046257019
Finish No.520 image, Processing time : 6.954085111618042
Finish No.521 image, Processing time : 7.704360008239746
Finish No.522 image, Processing time : 7.0665199756622314
Finish No.523 image, Processing time : 7.059442043304443
Finish No.524 image, Processing time : 6.825061321258545
Finish No.525 image, Processing time : 7.026438474655151
Finish No.526 image, Processing time : 7.221293926239014
Finish No.527 image, Processing time : 7.037294626235962
Finish No.528 image, Processing time : 8.602831602096558
Finish No.529 image, Processing time : 9.237837314605713
Finish No.530 image, Processing time : 7.616299390792847
Finish No.531 image, Processing time : 7.0891478061676025
Finish No.532 image, Processing time : 7.081653356552124
Finish No.533 image, Processing time : 8.48586392402649
Finish No.534 image, Processing time : 8.994239091873169
Finish No.535 image, Processing time : 8.692424297332764
Finish No.536 image, Processing time : 8.551003217697144
Finish No.537 image, Processing time : 7.51427435874939
Finish No.538 image, Processing time : 8.57438611984253
Finish No.539 image, Processing time : 9.095286846160889
Finish No.540 image, Processing time : 9.043864250183105
Finish No.541 image, Processing time : 9.203979969024658
Finish No.542 image, Processing time : 9.136819839477539
Finish No.543 image, Processing time : 9.074853897094727
Finish No.544 image, Processing time : 7.093622207641602
Finish No.545 image, Processing time : 7.007200002670288
Finish No.546 image, Processing time : 6.943633079528809
Finish No.547 image, Processing time : 8.601765632629395
Finish No.548 image, Processing time : 8.811846494674683
Finish No.549 image, Processing time : 8.737778425216675
Finish No.550 image, Processing time : 8.95012640953064
Finish No.551 image, Processing time : 8.908965826034546
Finish No.552 image, Processing time : 7.427479028701782
Finish No.553 image, Processing time : 8.345018148422241
Finish No.554 image, Processing time : 7.4863364696502686
Finish No.555 image, Processing time : 8.494701147079468
Finish No.556 image, Processing time : 9.018045425415039
Finish No.557 image, Processing time : 8.822041749954224
Finish No.558 image, Processing time : 8.911100149154663
Finish No.559 image, Processing time : 8.398924827575684
Finish No.560 image, Processing time : 8.903098583221436
Finish No.561 image, Processing time : 8.981318235397339
Finish No.562 image, Processing time : 8.788843870162964
Finish No.563 image, Processing time : 9.036668300628662
Finish No.564 image, Processing time : 9.003427505493164
Finish No.565 image, Processing time : 8.751782178878784
Finish No.566 image, Processing time : 8.986258506774902
Finish No.567 image, Processing time : 8.966426849365234
Finish No.568 image, Processing time : 9.175997972488403
Finish No.569 image, Processing time : 8.97981595993042
Finish No.570 image, Processing time : 9.118042469024658
Finish No.571 image, Processing time : 9.000863313674927
Finish No.572 image, Processing time : 9.051089525222778
Finish No.573 image, Processing time : 8.899832487106323
Finish No.574 image, Processing time : 9.228129863739014
Finish No.575 image, Processing time : 8.917965173721313
Finish No.576 image, Processing time : 9.103771209716797
Finish No.577 image, Processing time : 8.892210483551025
Finish No.578 image, Processing time : 9.118439197540283
Finish No.579 image, Processing time : 9.19575810432434
Finish No.580 image, Processing time : 8.702455520629883
Finish No.581 image, Processing time : 9.288265228271484
Finish No.582 image, Processing time : 9.198509454727173
Finish No.583 image, Processing time : 9.18735408782959
Finish No.584 image, Processing time : 9.202914953231812
Finish No.585 image, Processing time : 9.057777404785156
Finish No.586 image, Processing time : 9.183941841125488
Finish No.587 image, Processing time : 8.800874948501587
Finish No.588 image, Processing time : 9.124102115631104
Finish No.589 image, Processing time : 9.075457334518433
Finish No.590 image, Processing time : 9.080297708511353
Finish No.591 image, Processing time : 9.136436462402344
Finish No.592 image, Processing time : 8.583778381347656
Finish No.593 image, Processing time : 9.102711200714111
Finish No.594 image, Processing time : 9.014968395233154
Finish No.595 image, Processing time : 8.598667860031128
Finish No.596 image, Processing time : 9.19407844543457
Finish No.597 image, Processing time : 9.363587617874146
Finish No.598 image, Processing time : 9.24751615524292
Finish No.599 image, Processing time : 9.639133930206299
Finish No.600 image, Processing time : 9.215271472930908
Finish No.601 image, Processing time : 9.167562246322632
Finish No.602 image, Processing time : 9.697957038879395
Finish No.603 image, Processing time : 9.361588716506958
Finish No.604 image, Processing time : 9.281144618988037
Finish No.605 image, Processing time : 9.234336853027344
Finish No.606 image, Processing time : 9.405446290969849
Finish No.607 image, Processing time : 9.093114376068115
