Finish No.486 image, Processing time : 5.195683717727661
Finish No.487 image, Processing time : 5.051553249359131
Finish No.488 image, Processing time : 4.989366292953491
Finish No.489 image, Processing time : 5.02142596244812
Finish No.490 image, Processing time : 5.172203302383423
Finish No.491 image, Processing time : 5.019505500793457
Finish No.492 image, Processing time : 5.098881959915161
Finish No.493 image, Processing time : 5.288954973220825
Finish No.494 image, Processing time : 5.346335172653198
Finish No.495 image, Processing time : 4.189180612564087
Finish No.496 image, Processing time : 5.029990911483765
Finish No.497 image, Processing time : 4.848762273788452
Finish No.498 image, Processing time : 4.201733112335205
Finish No.499 image, Processing time : 5.176299571990967
Finish No.500 image, Processing time : 5.326807737350464
Finish No.501 image, Processing time : 5.325523614883423
Finish No.502 image, Processing time : 4.870546579360962
Finish No.503 image, Processing time : 5.17832350730896
Finish No.504 image, Processing time : 5.17150616645813
Finish No.505 image, Processing time : 5.288423299789429
Finish No.506 image, Processing time : 5.202688455581665
Finish No.507 image, Processing time : 5.126590013504028
Finish No.508 image, Processing time : 5.036869287490845
Finish No.509 image, Processing time : 4.324169397354126
Finish No.510 image, Processing time : 5.069222688674927
Finish No.511 image, Processing time : 5.2776947021484375
Finish No.512 image, Processing time : 5.365006923675537
Finish No.513 image, Processing time : 5.342871904373169
Finish No.514 image, Processing time : 5.253492593765259
Finish No.515 image, Processing time : 5.571256637573242
Finish No.516 image, Processing time : 5.413984775543213
Finish No.517 image, Processing time : 5.292781114578247
Finish No.518 image, Processing time : 5.154419898986816
Finish No.519 image, Processing time : 5.380408048629761
Finish No.520 image, Processing time : 5.250282287597656
Finish No.521 image, Processing time : 5.3977155685424805
Finish No.522 image, Processing time : 5.493566989898682
Finish No.523 image, Processing time : 5.120344638824463
Finish No.524 image, Processing time : 5.223165035247803
Finish No.525 image, Processing time : 5.376404285430908
Finish No.526 image, Processing time : 4.345206260681152
Finish No.527 image, Processing time : 5.159986257553101
Finish No.528 image, Processing time : 5.269019603729248
Finish No.529 image, Processing time : 5.311932563781738
Finish No.530 image, Processing time : 5.32294774055481
Finish No.531 image, Processing time : 5.212561130523682
Finish No.532 image, Processing time : 5.0483949184417725
Finish No.533 image, Processing time : 5.189318656921387
Finish No.534 image, Processing time : 5.3013787269592285
Finish No.535 image, Processing time : 5.203428506851196
Finish No.536 image, Processing time : 5.240315198898315
Finish No.537 image, Processing time : 5.263457298278809
Finish No.538 image, Processing time : 5.2115092277526855
Finish No.539 image, Processing time : 5.231186389923096
Finish No.540 image, Processing time : 5.139499664306641
Finish No.541 image, Processing time : 5.215075969696045
Finish No.542 image, Processing time : 5.24658989906311
Finish No.543 image, Processing time : 5.178596496582031
Finish No.544 image, Processing time : 4.950305700302124
Finish No.545 image, Processing time : 5.1418986320495605
Finish No.546 image, Processing time : 5.076971769332886
Finish No.547 image, Processing time : 5.25986123085022
Finish No.548 image, Processing time : 5.095191955566406
Finish No.549 image, Processing time : 5.2092578411102295
Finish No.550 image, Processing time : 5.1791229248046875
Finish No.551 image, Processing time : 5.197982311248779
Finish No.552 image, Processing time : 5.217835426330566
Finish No.553 image, Processing time : 5.085852384567261
Finish No.554 image, Processing time : 5.297091960906982
Finish No.555 image, Processing time : 5.216846942901611
Finish No.556 image, Processing time : 5.224313497543335
Finish No.557 image, Processing time : 5.086288928985596
Finish No.558 image, Processing time : 5.136501312255859
Finish No.559 image, Processing time : 5.091527223587036
Finish No.560 image, Processing time : 5.062589883804321
Finish No.561 image, Processing time : 5.038635969161987
Finish No.562 image, Processing time : 5.094850540161133
Finish No.563 image, Processing time : 5.074218511581421
Finish No.564 image, Processing time : 5.144605875015259
Finish No.565 image, Processing time : 5.057374477386475
Finish No.566 image, Processing time : 5.100976467132568
Finish No.567 image, Processing time : 5.105270147323608
Finish No.568 image, Processing time : 5.3066346645355225
Finish No.569 image, Processing time : 5.162567853927612
Finish No.570 image, Processing time : 5.197881460189819
Finish No.571 image, Processing time : 5.24034571647644
Finish No.572 image, Processing time : 5.305015802383423
Finish No.573 image, Processing time : 5.1819469928741455
Finish No.574 image, Processing time : 5.170053243637085
Finish No.575 image, Processing time : 5.19874906539917
Finish No.576 image, Processing time : 5.3248724937438965
Finish No.577 image, Processing time : 5.1842827796936035
Finish No.578 image, Processing time : 5.295328378677368
Finish No.579 image, Processing time : 5.231440782546997
Finish No.580 image, Processing time : 5.068179368972778
Finish No.581 image, Processing time : 5.118091106414795
Finish No.582 image, Processing time : 5.143111705780029
Finish No.583 image, Processing time : 5.254387617111206
Finish No.584 image, Processing time : 5.249856472015381
Finish No.585 image, Processing time : 5.287022590637207
Finish No.586 image, Processing time : 5.251517057418823
Finish No.587 image, Processing time : 5.431432008743286
Finish No.588 image, Processing time : 5.2953150272369385
Finish No.589 image, Processing time : 5.362981557846069
